initial_alias,converted_alias,name,description,namespace
ENSG00000271806,ENSG00000271806,AL590822.2,"novel transcript, antisense PRKCZ","ARRAYEXPRESS,ENSG"
ENSG00000269554,None,None,None,
ENSG00000203301,None,None,None,
ENSG00000269753,None,None,None,
ENSG00000272420,ENSG00000272420,AL513477.2,"novel transcript, sense intronic to MORN1","ARRAYEXPRESS,ENSG"
ENSG00000178642,None,None,None,
ENSG00000272449,ENSG00000272449,AL139246.5,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000238164,ENSG00000238164,TNFRSF14-AS1,TNFRSF14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26966],"ARRAYEXPRESS,ENSG"
ENSG00000238260,ENSG00000238260,AL513320.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272153,ENSG00000272153,AL365330.1,"novel transcript, antisense to LRRC47","ARRAYEXPRESS,ENSG"
ENSG00000228750,ENSG00000228750,LINC01672,long intergenic non-protein coding RNA 1672 [Source:HGNC Symbol;Acc:HGNC:52460],"ARRAYEXPRESS,ENSG"
ENSG00000269925,ENSG00000269925,Z98884.2,"novel transcript, sense intronic to VAMP3","ARRAYEXPRESS,ENSG"
ENSG00000236266,ENSG00000236266,Z98884.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000238290,ENSG00000238290,AL034417.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000232912,ENSG00000232912,RERE-AS1,RERE antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40501],"ARRAYEXPRESS,ENSG"
ENSG00000272078,ENSG00000272078,AL139423.1,"novel transcript, antisense to CASZ1","ARRAYEXPRESS,ENSG"
ENSG00000271895,ENSG00000271895,AL109811.2,"novel transcript, antisense to MASP2","ARRAYEXPRESS,ENSG"
ENSG00000226849,ENSG00000226849,AL109811.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000242349,None,None,None,
ENSG00000272482,ENSG00000272482,AC254633.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000228140,ENSG00000228140,AL031283.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000237301,ENSG00000237301,AL121992.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000178715,ENSG00000178715,AL450998.1,ribosomal protein S16 (RPS16) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000227959,ENSG00000227959,AL451042.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000237276,ENSG00000237276,ANO7L1,anoctamin 7 like 1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:32248],"ARRAYEXPRESS,ENSG"
ENSG00000186301,ENSG00000186301,MST1P2,macrophage stimulating 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:7383],"ARRAYEXPRESS,ENSG"
ENSG00000268869,ENSG00000268869,ESPNP,espin pseudogene [Source:HGNC Symbol;Acc:HGNC:23285],"ARRAYEXPRESS,ENSG"
ENSG00000235241,ENSG00000235241,BX284668.4,cyclin-dependent kinase 5 (CDK5) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000272084,ENSG00000272084,AL137127.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000226396,ENSG00000226396,AL031727.1,ribosomal protein S14 (RPS14) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000227001,ENSG00000227001,NBPF2P,"NBPF member 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:31987]","ARRAYEXPRESS,ENSG"
ENSG00000271840,None,None,None,
ENSG00000272796,None,None,None,
ENSG00000261326,ENSG00000261326,LINC01355,long intergenic non-protein coding RNA 1355 [Source:HGNC Symbol;Acc:HGNC:50584],"ARRAYEXPRESS,ENSG"
ENSG00000271420,ENSG00000271420,AL109936.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000229106,ENSG00000229106,BTBD6P1,BTB domain containing 6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51542],"ARRAYEXPRESS,ENSG"
ENSG00000261349,ENSG00000261349,AL031432.2,novel pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000225643,ENSG00000225643,AL606491.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000233478,ENSG00000233478,AL031280.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000223474,None,None,None,
ENSG00000270031,ENSG00000270031,AL020997.3,"novel transcript, sense intronic to STX12","ARRAYEXPRESS,ENSG"
ENSG00000228589,ENSG00000228589,SPCS2P4,signal peptidase complex subunit 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:45237],"ARRAYEXPRESS,ENSG"
ENSG00000270605,ENSG00000270605,AL353622.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000229447,ENSG00000229447,AC114495.2,"general transcription factor IIA, 2, 12kDa (GTF2A2) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000229167,ENSG00000229167,AC114488.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000235790,ENSG00000235790,PEF1-AS1,PEF1 and COL16A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40154],"ARRAYEXPRESS,ENSG"
ENSG00000212673,None,None,None,
ENSG00000224066,ENSG00000224066,AL049795.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000220785,ENSG00000220785,MTMR9LP,"myotubularin related protein 9 like, pseudogene [Source:HGNC Symbol;Acc:HGNC:27920]","ARRAYEXPRESS,ENSG"
ENSG00000225313,ENSG00000225313,AL513327.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000230163,ENSG00000230163,AL122010.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000229994,ENSG00000229994,RPL5P4,ribosomal protein L5 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:36095],"ARRAYEXPRESS,ENSG"
ENSG00000239636,ENSG00000239636,AC004865.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000116883,None,None,None,
ENSG00000270040,None,None,None,
ENSG00000255103,None,None,None,
ENSG00000182109,None,None,None,
ENSG00000228477,ENSG00000228477,AL663070.2,ribosomal protein S2 (RPS2) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000259943,ENSG00000259943,AL050341.2,"novel transcript, antisense to ZMPSTE24","ARRAYEXPRESS,ENSG"
ENSG00000260920,ENSG00000260920,AL031985.3,"novel transcript, sense overlapping with ZNF643","ARRAYEXPRESS,ENSG"
ENSG00000238287,ENSG00000238287,AL603839.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272145,ENSG00000272145,NFYC-AS1,NFYC antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49451],"ARRAYEXPRESS,ENSG"
ENSG00000230638,ENSG00000230638,AL445933.1,novel pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000234917,ENSG00000234917,AC098484.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000228192,ENSG00000228192,AL512353.1,"novel transcript, antisense to ERMAP","ARRAYEXPRESS,ENSG"
ENSG00000234694,ENSG00000234694,AL139289.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000229431,ENSG00000229431,MED8-AS1,MED8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40908],"ARRAYEXPRESS,ENSG"
ENSG00000236200,ENSG00000236200,KDM4A-AS1,KDM4A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40528],"ARRAYEXPRESS,ENSG"
ENSG00000237950,ENSG00000237950,AL357079.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000236624,None,None,None,
ENSG00000234329,ENSG00000234329,AL604028.2,ribosomal protein L7a (RPL7A) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000230896,ENSG00000230896,AL604028.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000232022,ENSG00000232022,FAAHP1,fatty acid amide hydrolase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:50679],"ARRAYEXPRESS,ENSG"
ENSG00000226252,ENSG00000226252,AL135960.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000242267,ENSG00000242267,SKINT1L,Skint1 like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33993],"ARRAYEXPRESS,ENSG"
ENSG00000272491,ENSG00000272491,AL109659.2,"novel transcript, antisense to SLC5A9","ARRAYEXPRESS,ENSG"
ENSG00000272100,ENSG00000272100,AL513218.1,"novel transcript, antisense to CC2D1B","ARRAYEXPRESS,ENSG"
ENSG00000228929,ENSG00000228929,RPS13P2,ribosomal protein S13 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:36364],"ARRAYEXPRESS,ENSG"
ENSG00000230953,ENSG00000230953,AC099677.1,translational machinery associated 7 homolog (S. cerevisiae) (TMA7) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000235563,ENSG00000235563,AL445183.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000270172,None,None,None,
ENSG00000234578,ENSG00000234578,AL355483.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000230138,ENSG00000230138,LINC02812,long intergenic non-protein coding RNA 2812 [Source:HGNC Symbol;Acc:HGNC:54344],"ARRAYEXPRESS,ENSG"
ENSG00000272091,None,None,None,
ENSG00000203276,None,None,None,
ENSG00000212670,None,None,None,
ENSG00000248835,None,None,None,
ENSG00000260971,ENSG00000260971,AC119674.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000234807,ENSG00000234807,LINC01135,long intergenic non-protein coding RNA 1135 [Source:HGNC Symbol;Acc:HGNC:49450],"ARRAYEXPRESS,ENSG"
ENSG00000271200,ENSG00000271200,AC099791.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000185031,ENSG00000185031,SLC2A3P2,solute carrier family 2 member 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:31074],"ARRAYEXPRESS,ENSG"
ENSG00000272506,ENSG00000272506,AL357078.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000271992,ENSG00000271992,AL354872.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000229956,ENSG00000229956,ZRANB2-AS2,ZRANB2 antisense RNA 2 (head to head) [Source:HGNC Symbol;Acc:HGNC:43595],"ARRAYEXPRESS,ENSG"
ENSG00000272864,ENSG00000272864,AC135803.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000181227,ENSG00000181227,DLSTP1,dihydrolipoamide S-succinyltransferase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:2912],"ARRAYEXPRESS,ENSG"
ENSG00000226415,ENSG00000226415,TPI1P1,triosephosphate isomerase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35449],"ARRAYEXPRESS,ENSG"
ENSG00000226084,ENSG00000226084,AC113935.1,ribosomal protein L17 (RPL17) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000273338,ENSG00000273338,AC103591.3,"novel transcript, antisense to DNAJB4","ARRAYEXPRESS,ENSG"
ENSG00000271576,ENSG00000271576,AL359504.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000241975,ENSG00000241975,ELOCP19,elongin C pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:38155],"ARRAYEXPRESS,ENSG"
ENSG00000234518,ENSG00000234518,PTGES3P1,prostaglandin E synthase 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43824],"ARRAYEXPRESS,ENSG"
ENSG00000272931,ENSG00000272931,AC099568.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000228175,ENSG00000228175,GEMIN8P4,gem nuclear organelle associated protein 8 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:37979],"ARRAYEXPRESS,ENSG"
ENSG00000069712,None,None,None,
ENSG00000273487,ENSG00000273487,AC104836.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000229052,ENSG00000229052,AL449283.1,GAJ protein pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000223745,ENSG00000223745,CCDC18-AS1,CCDC18 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52262],"ARRAYEXPRESS,ENSG"
ENSG00000260464,ENSG00000260464,AL049796.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000235565,None,None,None,
ENSG00000235501,ENSG00000235501,AC105942.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000228502,ENSG00000228502,EEF1A1P11,eukaryotic translation elongation factor 1 alpha 1 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:3206],"ARRAYEXPRESS,ENSG"
ENSG00000137970,ENSG00000137970,RPL7P9,ribosomal protein L7 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:37028],"ARRAYEXPRESS,ENSG"
ENSG00000261254,None,None,None,
ENSG00000224616,ENSG00000224616,RTCA-AS1,RTCA antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50573],"ARRAYEXPRESS,ENSG"
ENSG00000269175,None,None,None,
ENSG00000260879,ENSG00000260879,AL359258.2,"novel transcript, antisense to SLC25A24","ARRAYEXPRESS,ENSG"
ENSG00000244716,ENSG00000244716,BX679664.3,ribosomal protein L17 (RPL17) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000273382,ENSG00000273382,AL356488.3,"novel transcript, antisense to TMEM167B","ARRAYEXPRESS,ENSG"
ENSG00000270066,ENSG00000270066,AL356488.2,small Cajal body-specific RNA 2,"ARRAYEXPRESS,ENSG"
ENSG00000258634,ENSG00000258634,AL160006.1,"novel transcript, antisense to ALX3","ARRAYEXPRESS,ENSG"
ENSG00000224965,ENSG00000224965,LINC02586,long intergenic non-protein coding RNA 2586 [Source:HGNC Symbol;Acc:HGNC:39958],"ARRAYEXPRESS,ENSG"
ENSG00000273373,ENSG00000273373,AL355488.1,"novel transcript, antisense to SLC16A4","ARRAYEXPRESS,ENSG"
ENSG00000224699,ENSG00000224699,LAMTOR5-AS1,LAMTOR5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40823],"ARRAYEXPRESS,ENSG"
ENSG00000259834,ENSG00000259834,AL365361.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000232811,ENSG00000232811,AL360270.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000260948,ENSG00000260948,AL390195.3,"novel transcript, sense overlapping WDR77 & OVGP1","ARRAYEXPRESS,ENSG"
ENSG00000233337,ENSG00000233337,UBE2FP3,UBE2F pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44537],"ARRAYEXPRESS,ENSG"
ENSG00000231346,ENSG00000231346,LINC01160,long intergenic non-protein coding RNA 1160 [Source:HGNC Symbol;Acc:HGNC:49525],"ARRAYEXPRESS,ENSG"
ENSG00000232450,ENSG00000232450,AL133517.1,ribosomal protein S2 (RPS2) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000224950,ENSG00000224950,AL390066.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000177173,ENSG00000177173,NAP1L4P1,nucleosome assembly protein 1 like 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39740],"ARRAYEXPRESS,ENSG"
ENSG00000225079,ENSG00000225079,FTH1P22,ferritin heavy chain 1 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:37640],"ARRAYEXPRESS,ENSG"
ENSG00000271427,ENSG00000271427,AL358072.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000224238,ENSG00000224238,WARS2-IT1,WARS2 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41393],"ARRAYEXPRESS,ENSG"
ENSG00000261662,None,None,None,
ENSG00000273131,None,None,None,
ENSG00000223345,ENSG00000223345,H2BP1,H2B histone pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20560],"ARRAYEXPRESS,ENSG"
ENSG00000269996,None,None,None,
ENSG00000230880,None,None,None,
ENSG00000203849,None,None,None,
ENSG00000234978,None,None,None,
ENSG00000232745,None,None,None,
ENSG00000232274,None,None,None,
ENSG00000230850,None,None,None,
ENSG00000238261,None,None,None,
ENSG00000223804,ENSG00000223804,AC244669.1,Poly [ADP-ribose] polymerase 8 (PARP8) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000231360,None,None,None,
ENSG00000236943,None,None,None,
ENSG00000225241,None,None,None,
ENSG00000168614,None,None,None,
ENSG00000254539,ENSG00000254539,AC239804.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000268172,None,None,None,
ENSG00000272755,ENSG00000272755,AC245297.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000223380,None,None,None,
ENSG00000213240,None,None,None,
ENSG00000163386,None,None,None,
ENSG00000233396,ENSG00000233396,LINC01719,long intergenic non-protein coding RNA 1719 [Source:HGNC Symbol;Acc:HGNC:52506],"ARRAYEXPRESS,ENSG"
ENSG00000117289,None,None,None,
ENSG00000181039,None,None,None,
ENSG00000152022,None,None,None,
ENSG00000131795,None,None,None,
ENSG00000121848,None,None,None,
ENSG00000152042,None,None,None,
ENSG00000232637,None,None,None,
ENSG00000186275,None,None,None,
ENSG00000227242,ENSG00000227242,NBPF13P,"NBPF member 13, pseudogene [Source:HGNC Symbol;Acc:HGNC:31995]","ARRAYEXPRESS,ENSG"
ENSG00000237188,ENSG00000237188,AC242426.2,"novel transcript, antisense to FMO5","ARRAYEXPRESS,ENSG"
ENSG00000271721,None,None,None,
ENSG00000180867,ENSG00000180867,PDIA3P1,protein disulfide isomerase family A member 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4607],"ARRAYEXPRESS,ENSG"
ENSG00000226015,ENSG00000226015,CCT8P1,chaperonin containing TCP1 subunit 8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35144],"ARRAYEXPRESS,ENSG"
ENSG00000143140,None,None,None,
ENSG00000122497,None,None,None,
ENSG00000223612,ENSG00000223612,AC241585.1,EGFR-coamplified and overexpressed protein (ECOP) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000203832,None,None,None,
ENSG00000243452,None,None,None,
ENSG00000226675,None,None,None,
ENSG00000203827,None,None,None,
ENSG00000226067,ENSG00000226067,LINC00623,long intergenic non-protein coding RNA 623 [Source:HGNC Symbol;Acc:HGNC:44252],"ARRAYEXPRESS,ENSG"
ENSG00000235999,None,None,None,
ENSG00000253193,None,None,None,
ENSG00000240929,None,None,None,
ENSG00000269501,None,None,None,
ENSG00000239903,None,None,None,
ENSG00000223759,None,None,None,
ENSG00000203815,None,None,None,
ENSG00000163113,None,None,None,
ENSG00000187145,None,None,None,
ENSG00000237781,ENSG00000237781,ADAMTSL4-AS2,ADAMTSL4 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40895],"ARRAYEXPRESS,ENSG"
ENSG00000237976,ENSG00000237976,AL391069.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000238279,ENSG00000238279,BX470102.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272654,ENSG00000272654,AL358472.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000232093,ENSG00000232093,DCST1-AS1,DCST1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41147],"ARRAYEXPRESS,ENSG"
ENSG00000231064,ENSG00000231064,AC234582.1,"novel transcript, antisense to THBS3","ARRAYEXPRESS,ENSG"
ENSG00000236263,ENSG00000236263,AC234582.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000271267,ENSG00000271267,AL353807.4,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2 (ATP5J2) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000246203,ENSG00000246203,AL353807.3,novel pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000203761,ENSG00000203761,MSTO2P,"misato family member 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:26329]","ARRAYEXPRESS,ENSG"
ENSG00000273002,ENSG00000273002,AL355388.1,"novel transcript, antisense to ARHGEF2","ARRAYEXPRESS,ENSG"
ENSG00000272405,ENSG00000272405,AL365181.3,"novel transcript, antisense to BCAN","ARRAYEXPRESS,ENSG"
ENSG00000224520,ENSG00000224520,KRT8P45,keratin 8 pseudogene 45 [Source:HGNC Symbol;Acc:HGNC:39879],"ARRAYEXPRESS,ENSG"
ENSG00000225670,ENSG00000225670,CADM3-AS1,CADM3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40812],"ARRAYEXPRESS,ENSG"
ENSG00000188004,ENSG00000188004,SNHG28,small nucleolar RNA host gene 28 [Source:HGNC Symbol;Acc:HGNC:27647],"ARRAYEXPRESS,ENSG"
ENSG00000272668,ENSG00000272668,AL590560.3,"novel transcript, antisense to VSIG8","ARRAYEXPRESS,ENSG"
ENSG00000260766,None,None,None,
ENSG00000224261,ENSG00000224261,RPSAP18,ribosomal protein SA pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:36106],"ARRAYEXPRESS,ENSG"
ENSG00000235477,None,None,None,
ENSG00000273075,None,None,None,
ENSG00000244682,ENSG00000244682,FCGR2C,Fc fragment of IgG receptor IIc (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15626],"ARRAYEXPRESS,ENSG"
ENSG00000225217,ENSG00000225217,HSPA7,heat shock protein family A (Hsp70) member 7 [Source:HGNC Symbol;Acc:HGNC:5240],"ARRAYEXPRESS,ENSG"
ENSG00000229808,ENSG00000229808,AL391825.1,"proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000272574,ENSG00000272574,AL596325.2,"novel transcript, sense intronic to UAP1","ARRAYEXPRESS,ENSG"
ENSG00000269887,ENSG00000269887,AL391001.1,"novel transcript, sense intronic to PBX1","ARRAYEXPRESS,ENSG"
ENSG00000225171,ENSG00000225171,DUTP6,deoxyuridine triphosphatase pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:39519],"ARRAYEXPRESS,ENSG"
ENSG00000272205,ENSG00000272205,AL451050.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000241666,ENSG00000241666,AL031733.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000213062,ENSG00000213062,Z99572.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000231407,ENSG00000231407,GORAB-AS1,GORAB antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54051],"ARRAYEXPRESS,ENSG"
ENSG00000271811,ENSG00000271811,Z97200.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000230630,ENSG00000230630,DNM3OS,DNM3 opposite strand/antisense RNA [Source:HGNC Symbol;Acc:HGNC:41228],"ARRAYEXPRESS,ENSG"
ENSG00000270084,ENSG00000270084,GAS5-AS1,GAS5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44119],"ARRAYEXPRESS,ENSG"
ENSG00000213058,ENSG00000213058,AL365357.1,ribosomal protein S14 (RPS14) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000272906,ENSG00000272906,AL353708.3,"novel transcript, antisense to TOR1AIP1","ARRAYEXPRESS,ENSG"
ENSG00000135847,None,None,None,
ENSG00000243155,ENSG00000243155,AL162431.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272198,None,None,None,
ENSG00000261185,None,None,None,
ENSG00000271387,ENSG00000271387,AL445228.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000231767,ENSG00000231767,AL136454.1,novel protein similar to ribosomal protein S27a RPS27A,"ARRAYEXPRESS,ENSG"
ENSG00000272579,None,None,None,
ENSG00000229821,ENSG00000229821,AC103925.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000224818,ENSG00000224818,AC096677.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000223396,ENSG00000223396,RPS10P7,ribosomal protein S10 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:36423],"ARRAYEXPRESS,ENSG"
ENSG00000269690,None,None,None,
ENSG00000273478,None,None,None,
ENSG00000234678,ENSG00000234678,ELF3-AS1,ELF3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40211],"ARRAYEXPRESS,ENSG"
